"obsID","alt","choice","price","fuelEconomy","accelTime","powertrain","outsideGood"
27,2,1,15,30,7,"gas",0
27,3,0,25,25,6,"elec",0
27,4,0,0,0,0,"gas",1
28,1,1,25,25,6,"gas",0
28,2,0,25,20,7,"gas",0
28,3,0,20,25,8,"elec",0
28,4,0,0,0,0,"gas",1
29,1,0,20,20,8,"elec",0
29,2,0,25,25,8,"gas",0
29,3,1,20,30,7,"elec",0
29,4,0,0,0,0,"gas",1
30,1,0,25,30,8,"gas",0
30,2,0,15,25,7,"elec",0
30,3,1,15,20,7,"gas",0
30,4,0,0,0,0,"gas",1
31,1,1,20,25,8,"gas",0
31,2,0,25,25,8,"gas",0
31,3,0,25,30,7,"gas",0
31,4,0,0,0,0,"gas",1
32,1,1,15,30,8,"gas",0
32,2,0,20,25,8,"gas",0
32,3,0,20,30,8,"elec",0
32,4,0,0,0,0,"gas",1
33,1,0,25,25,6,"gas",0
33,2,1,15,20,8,"gas",0
33,3,0,20,20,8,"gas",0
33,4,0,0,0,0,"gas",1
34,1,0,25,30,8,"elec",0
34,2,0,25,20,8,"elec",0
34,3,0,25,20,6,"elec",0
34,4,1,0,0,0,"gas",1
35,1,1,15,30,7,"gas",0
35,2,0,25,25,6,"elec",0
35,3,0,25,20,6,"elec",0
35,4,0,0,0,0,"gas",1
36,1,0,25,25,7,"elec",0
36,2,0,15,20,7,"gas",0
36,3,0,25,30,6,"elec",0
36,4,1,0,0,0,"gas",1
37,1,0,25,25,6,"elec",0
37,2,0,20,25,6,"gas",0
37,3,1,25,20,6,"gas",0
37,4,0,0,0,0,"gas",1
38,1,1,20,20,7,"gas",0
38,2,0,20,20,6,"elec",0
38,3,0,20,25,6,"gas",0
38,4,0,0,0,0,"gas",1
39,1,1,15,20,8,"gas",0
39,2,0,25,30,8,"gas",0
39,3,0,20,25,7,"elec",0
39,4,0,0,0,0,"gas",1
40,1,0,25,25,8,"elec",0
40,2,0,25,30,6,"elec",0
40,3,1,15,25,8,"gas",0
40,4,0,0,0,0,"gas",1
41,1,1,15,20,6,"gas",0
41,2,0,25,30,6,"gas",0
41,3,0,25,20,7,"elec",0
41,4,0,0,0,0,"gas",1
42,1,0,15,30,6,"elec",0
42,2,0,25,30,6,"elec",0
42,3,1,20,25,7,"gas",0
42,4,0,0,0,0,"gas",1
43,1,0,20,30,6,"gas",0
43,2,0,15,20,8,"elec",0
43,3,1,20,25,6,"gas",0
43,4,0,0,0,0,"gas",1
44,1,0,20,20,8,"elec",0
44,2,0,25,30,8,"gas",0
44,3,1,15,20,7,"elec",0
44,4,0,0,0,0,"gas",1
45,1,0,25,30,6,"elec",0
45,2,1,20,25,7,"gas",0
45,3,0,20,20,8,"elec",0
45,4,0,0,0,0,"gas",1
46,1,0,20,20,8,"gas",0
46,2,0,25,30,7,"elec",0
46,3,0,20,25,7,"gas",0
46,4,1,0,0,0,"gas",1
47,1,1,15,20,8,"gas",0
47,2,0,25,25,7,"gas",0
47,3,0,20,30,6,"elec",0
47,4,0,0,0,0,"gas",1
48,1,0,15,20,7,"elec",0
48,2,0,25,20,8,"elec",0
48,3,0,15,25,7,"elec",0
48,4,1,0,0,0,"gas",1
49,1,0,25,20,7,"elec",0
49,2,1,15,20,6,"gas",0
49,3,0,20,30,7,"elec",0
49,4,0,0,0,0,"gas",1
50,1,1,15,20,7,"gas",0
50,2,0,25,25,7,"elec",0
50,3,0,25,30,7,"elec",0
50,4,0,0,0,0,"gas",1
51,1,0,20,30,8,"gas",0
51,2,0,25,20,7,"elec",0
51,3,1,20,20,6,"gas",0
51,4,0,0,0,0,"gas",1
52,1,0,20,30,8,"elec",0
52,2,0,15,25,8,"gas",0
52,3,1,15,25,7,"gas",0
52,4,0,0,0,0,"gas",1
53,1,0,25,25,6,"elec",0
53,2,0,25,20,7,"elec",0
53,3,1,15,30,8,"gas",0
53,4,0,0,0,0,"gas",1
54,1,0,15,25,7,"elec",0
54,2,1,15,20,7,"gas",0
54,3,0,15,25,8,"elec",0
54,4,0,0,0,0,"gas",1
55,1,1,15,30,7,"gas",0
55,2,0,25,25,6,"gas",0
55,3,0,25,20,8,"gas",0
55,4,0,0,0,0,"gas",1
56,1,0,25,30,8,"elec",0
56,2,0,20,25,7,"elec",0
56,3,1,20,30,6,"gas",0
56,4,0,0,0,0,"gas",1
57,1,0,25,25,6,"elec",0
57,2,0,25,30,8,"gas",0
57,3,0,25,25,8,"gas",0
57,4,1,0,0,0,"gas",1
58,1,0,20,30,8,"elec",0
58,2,0,20,20,8,"elec",0
58,3,1,25,30,6,"gas",0
58,4,0,0,0,0,"gas",1
59,1,0,25,20,8,"gas",0
59,2,0,25,30,8,"elec",0
59,3,1,15,20,6,"elec",0
59,4,0,0,0,0,"gas",1
60,1,1,20,20,7,"gas",0
60,2,0,25,20,6,"gas",0
60,3,0,20,30,8,"elec",0
60,4,0,0,0,0,"gas",1
61,1,0,20,20,6,"elec",0
61,2,0,25,20,6,"elec",0
61,3,0,20,30,8,"elec",0
61,4,1,0,0,0,"gas",1
62,1,0,20,25,8,"elec",0
62,2,0,25,25,6,"gas",0
62,3,1,15,25,7,"elec",0
62,4,0,0,0,0,"gas",1
63,1,0,25,25,8,"elec",0
63,2,0,20,30,8,"elec",0
63,3,0,15,20,6,"elec",0
63,4,1,0,0,0,"gas",1
64,1,0,20,20,6,"gas",0
64,2,0,20,25,8,"elec",0
64,3,1,15,30,6,"elec",0
64,4,0,0,0,0,"gas",1
65,1,1,15,30,6,"gas",0
65,2,0,25,30,7,"elec",0
65,3,0,25,25,6,"gas",0
65,4,0,0,0,0,"gas",1
66,1,1,15,25,6,"gas",0
66,2,0,15,25,8,"gas",0
66,3,0,25,30,6,"gas",0
66,4,0,0,0,0,"gas",1
67,1,0,25,25,7,"elec",0
67,2,0,20,20,6,"elec",0
67,3,1,15,20,8,"elec",0
67,4,0,0,0,0,"gas",1
68,1,0,25,25,8,"elec",0
68,2,1,15,25,6,"gas",0
68,3,0,20,25,7,"elec",0
68,4,0,0,0,0,"gas",1
69,1,0,20,20,8,"elec",0
69,2,1,15,20,7,"gas",0
69,3,0,25,25,6,"gas",0
69,4,0,0,0,0,"gas",1
70,1,0,15,30,6,"elec",0
70,2,0,15,20,8,"elec",0
70,3,1,15,20,6,"gas",0
70,4,0,0,0,0,"gas",1
71,1,1,20,25,6,"elec",0
71,2,0,15,20,6,"elec",0
71,3,0,25,20,7,"elec",0
71,4,0,0,0,0,"gas",1
72,1,1,15,30,8,"elec",0
72,2,0,25,30,6,"elec",0
72,3,0,25,25,7,"elec",0
72,4,0,0,0,0,"gas",1
73,1,0,15,25,8,"gas",0
73,2,1,20,20,7,"gas",0
73,3,0,25,20,6,"gas",0
73,4,0,0,0,0,"gas",1
74,1,0,20,20,8,"gas",0
74,2,0,20,30,8,"elec",0
74,3,0,15,20,7,"elec",0
74,4,1,0,0,0,"gas",1
75,1,0,25,30,8,"elec",0
75,2,1,15,25,7,"elec",0
75,3,0,20,30,7,"elec",0
75,4,0,0,0,0,"gas",1
76,1,0,25,20,8,"gas",0
76,2,1,15,25,7,"elec",0
76,3,0,25,30,7,"gas",0
76,4,0,0,0,0,"gas",1
77,1,1,15,25,8,"gas",0
77,2,0,20,25,7,"elec",0
77,3,0,25,30,8,"gas",0
77,4,0,0,0,0,"gas",1
78,1,0,25,30,8,"gas",0
78,2,1,15,30,8,"elec",0
78,3,0,25,20,6,"elec",0
78,4,0,0,0,0,"gas",1
79,1,0,25,25,7,"elec",0
79,2,0,25,20,6,"gas",0
79,3,0,25,20,8,"elec",0
79,4,1,0,0,0,"gas",1
80,1,0,25,30,7,"elec",0
80,2,0,15,30,7,"elec",0
80,3,1,15,30,8,"gas",0
80,4,0,0,0,0,"gas",1
81,1,0,20,25,7,"gas",0
81,2,1,15,25,6,"gas",0
81,3,0,15,25,7,"elec",0
81,4,0,0,0,0,"gas",1
82,1,1,20,30,8,"gas",0
82,2,0,20,20,6,"gas",0
82,3,0,25,25,8,"elec",0
82,4,0,0,0,0,"gas",1
83,1,0,20,20,6,"elec",0
83,2,1,20,25,7,"gas",0
83,3,0,15,30,8,"elec",0
83,4,0,0,0,0,"gas",1
84,1,0,25,30,6,"elec",0
84,2,1,15,30,7,"elec",0
84,3,0,20,30,6,"elec",0
84,4,0,0,0,0,"gas",1
85,1,1,15,20,8,"gas",0
85,2,0,15,20,7,"elec",0
85,3,0,25,25,8,"elec",0
85,4,0,0,0,0,"gas",1
86,1,1,20,20,8,"gas",0
86,2,0,25,25,6,"gas",0
86,3,0,25,20,6,"elec",0
86,4,0,0,0,0,"gas",1
87,1,1,20,30,7,"gas",0
87,2,0,15,25,8,"elec",0
87,3,0,25,25,8,"elec",0
87,4,0,0,0,0,"gas",1
88,1,1,15,25,7,"gas",0
88,2,0,25,30,8,"elec",0
88,3,0,25,20,7,"gas",0
88,4,0,0,0,0,"gas",1
89,1,1,15,20,6,"elec",0
89,2,0,25,25,8,"gas",0
89,3,0,20,30,8,"elec",0
89,4,0,0,0,0,"gas",1
90,1,0,20,20,8,"elec",0
90,2,1,20,30,8,"gas",0
90,3,0,25,20,7,"elec",0
90,4,0,0,0,0,"gas",1
91,1,1,25,25,6,"gas",0
91,2,0,15,20,8,"elec",0
91,3,0,25,25,7,"elec",0
91,4,0,0,0,0,"gas",1
92,1,0,20,25,6,"elec",0
92,2,1,20,20,8,"gas",0
92,3,0,25,25,6,"elec",0
92,4,0,0,0,0,"gas",1
93,1,1,20,30,8,"gas",0
93,2,0,20,25,6,"elec",0
93,3,0,25,25,6,"elec",0
93,4,0,0,0,0,"gas",1
94,1,0,25,20,7,"gas",0
94,2,0,25,20,6,"gas",0
94,3,0,25,20,7,"elec",0
94,4,1,0,0,0,"gas",1
95,1,0,20,30,6,"elec",0
95,2,0,20,20,8,"elec",0
95,3,1,15,30,8,"gas",0
95,4,0,0,0,0,"gas",1
96,1,0,15,25,7,"elec",0
96,2,1,20,20,8,"gas",0
96,3,0,20,25,6,"elec",0
96,4,0,0,0,0,"gas",1
97,1,0,20,20,8,"gas",0
97,2,0,20,30,8,"gas",0
97,3,1,15,25,8,"gas",0
97,4,0,0,0,0,"gas",1
98,1,0,20,20,7,"elec",0
98,2,0,25,20,7,"elec",0
98,3,0,25,20,6,"elec",0
98,4,1,0,0,0,"gas",1
99,1,0,20,30,6,"gas",0
99,2,1,20,20,7,"gas",0
99,3,0,25,25,7,"gas",0
99,4,0,0,0,0,"gas",1
100,1,1,15,20,8,"gas",0
100,2,0,15,30,7,"gas",0
100,3,0,20,20,6,"gas",0
100,4,0,0,0,0,"gas",1
101,1,1,20,30,7,"gas",0
101,2,0,15,20,7,"elec",0
101,3,0,15,25,6,"gas",0
101,4,0,0,0,0,"gas",1
102,1,0,20,25,6,"elec",0
102,2,1,15,30,6,"gas",0
102,3,0,25,20,8,"elec",0
102,4,0,0,0,0,"gas",1
103,1,1,25,30,7,"gas",0
103,2,0,20,20,6,"gas",0
103,3,0,20,20,8,"elec",0
103,4,0,0,0,0,"gas",1
104,1,0,25,25,6,"gas",0
104,2,0,15,20,7,"elec",0
104,3,1,25,25,7,"gas",0
104,4,0,0,0,0,"gas",1
105,1,0,20,20,6,"elec",0
105,2,1,15,20,7,"gas",0
105,3,0,25,30,6,"elec",0
105,4,0,0,0,0,"gas",1
106,1,1,15,25,6,"gas",0
106,2,0,15,20,7,"elec",0
106,3,0,25,30,6,"elec",0
106,4,0,0,0,0,"gas",1
107,1,0,20,20,7,"elec",0
107,2,0,25,30,6,"elec",0
107,3,1,20,25,8,"gas",0
107,4,0,0,0,0,"gas",1
108,1,1,20,25,7,"gas",0
108,2,0,20,20,7,"gas",0
108,3,0,20,25,6,"elec",0
108,4,0,0,0,0,"gas",1
109,1,0,20,20,6,"gas",0
109,2,0,20,25,7,"gas",0
109,3,1,20,20,8,"gas",0
109,4,0,0,0,0,"gas",1
110,1,0,20,25,6,"gas",0
110,2,0,25,30,6,"gas",0
110,3,1,15,30,8,"elec",0
110,4,0,0,0,0,"gas",1
111,1,0,20,20,6,"elec",0
111,2,0,15,30,7,"elec",0
111,3,0,25,20,8,"gas",0
111,4,1,0,0,0,"gas",1
112,1,0,20,30,8,"elec",0
112,2,1,15,20,8,"elec",0
112,3,0,25,20,7,"elec",0
112,4,0,0,0,0,"gas",1
113,1,0,15,25,6,"elec",0
113,2,1,20,25,6,"gas",0
113,3,0,20,20,7,"gas",0
113,4,0,0,0,0,"gas",1
114,1,1,15,30,7,"gas",0
114,2,0,25,30,7,"elec",0
114,3,0,25,20,8,"gas",0
114,4,0,0,0,0,"gas",1
115,1,1,15,25,6,"gas",0
115,2,0,25,25,8,"gas",0
115,3,0,20,30,7,"gas",0
115,4,0,0,0,0,"gas",1
116,1,1,15,20,8,"elec",0
116,2,0,25,25,7,"elec",0
116,3,0,25,20,7,"gas",0
116,4,0,0,0,0,"gas",1
117,1,0,20,20,6,"gas",0
117,2,1,20,20,7,"gas",0
117,3,0,25,25,6,"gas",0
117,4,0,0,0,0,"gas",1
118,1,1,15,20,7,"gas",0
118,2,0,20,20,7,"gas",0
118,3,0,15,30,8,"gas",0
118,4,0,0,0,0,"gas",1
119,1,1,15,30,7,"elec",0
119,2,0,20,20,8,"elec",0
119,3,0,25,25,6,"elec",0
119,4,0,0,0,0,"gas",1
120,1,0,25,25,6,"gas",0
120,2,0,25,20,8,"elec",0
120,3,0,25,20,6,"elec",0
120,4,1,0,0,0,"gas",1
121,1,1,15,20,8,"elec",0
121,2,0,25,30,7,"elec",0
121,3,0,25,25,7,"gas",0
121,4,0,0,0,0,"gas",1
122,1,1,15,20,8,"gas",0
122,2,0,25,30,6,"gas",0
122,3,0,25,25,8,"elec",0
122,4,0,0,0,0,"gas",1
123,1,1,20,30,8,"elec",0
123,2,0,25,30,6,"elec",0
123,3,0,25,25,7,"gas",0
123,4,0,0,0,0,"gas",1
124,1,1,20,30,6,"gas",0
124,2,0,25,30,8,"gas",0
124,3,0,20,25,7,"elec",0
124,4,0,0,0,0,"gas",1
125,1,0,20,20,8,"gas",0
125,2,0,25,20,8,"gas",0
125,3,1,15,25,8,"gas",0
125,4,0,0,0,0,"gas",1
126,1,1,15,20,8,"gas",0
126,2,0,20,30,7,"gas",0
126,3,0,25,25,8,"gas",0
126,4,0,0,0,0,"gas",1
127,1,1,25,25,8,"gas",0
127,2,0,15,20,8,"elec",0
127,3,0,25,30,6,"gas",0
127,4,0,0,0,0,"gas",1
128,1,1,20,20,7,"gas",0
128,2,0,25,20,7,"gas",0
128,3,0,20,30,7,"gas",0
128,4,0,0,0,0,"gas",1
129,1,0,25,30,7,"elec",0
129,2,1,15,25,6,"elec",0
129,3,0,15,20,6,"elec",0
129,4,0,0,0,0,"gas",1
130,1,1,15,25,6,"elec",0
130,2,0,25,20,7,"gas",0
130,3,0,25,25,6,"elec",0
130,4,0,0,0,0,"gas",1
131,1,0,25,25,7,"elec",0
131,2,1,20,20,8,"gas",0
131,3,0,20,30,6,"elec",0
131,4,0,0,0,0,"gas",1
132,1,0,25,25,8,"elec",0
132,2,0,20,30,8,"elec",0
132,3,1,15,30,8,"elec",0
132,4,0,0,0,0,"gas",1
133,1,0,25,20,8,"gas",0
133,2,1,15,30,6,"elec",0
133,3,0,25,20,8,"elec",0
133,4,0,0,0,0,"gas",1
134,1,0,15,30,8,"elec",0
134,2,1,20,30,6,"gas",0
134,3,0,25,20,8,"gas",0
134,4,0,0,0,0,"gas",1
135,1,1,15,20,8,"gas",0
135,2,0,25,30,6,"elec",0
135,3,0,25,20,7,"gas",0
135,4,0,0,0,0,"gas",1
136,1,0,25,20,8,"elec",0
136,2,1,20,30,6,"gas",0
136,3,0,25,20,8,"gas",0
136,4,0,0,0,0,"gas",1
137,1,0,20,20,8,"elec",0
137,2,0,25,20,6,"gas",0
137,3,1,20,25,8,"gas",0
137,4,0,0,0,0,"gas",1
138,1,0,20,25,7,"gas",0
138,2,1,15,25,7,"gas",0
138,3,0,20,20,7,"gas",0
138,4,0,0,0,0,"gas",1
139,1,0,20,30,7,"elec",0
139,2,0,25,20,8,"gas",0
139,3,1,15,25,7,"gas",0
139,4,0,0,0,0,"gas",1
140,1,0,20,20,8,"gas",0
140,2,1,15,25,8,"gas",0
140,3,0,15,30,6,"elec",0
140,4,0,0,0,0,"gas",1
141,1,1,15,25,6,"gas",0
141,2,0,20,25,8,"elec",0
141,3,0,20,30,6,"gas",0
141,4,0,0,0,0,"gas",1
142,1,1,15,30,6,"gas",0
142,2,0,25,30,8,"gas",0
142,3,0,25,25,6,"elec",0
142,4,0,0,0,0,"gas",1
143,1,0,25,20,8,"gas",0
143,2,1,15,20,8,"gas",0
143,3,0,25,20,6,"gas",0
143,4,0,0,0,0,"gas",1
144,1,0,20,25,8,"elec",0
144,2,1,15,20,6,"elec",0
144,3,0,25,30,8,"gas",0
144,4,0,0,0,0,"gas",1
145,1,1,15,30,8,"gas",0
145,2,0,15,30,7,"elec",0
145,3,0,15,25,8,"elec",0
145,4,0,0,0,0,"gas",1
146,1,1,20,20,6,"gas",0
146,2,0,25,20,6,"gas",0
146,3,0,15,20,7,"elec",0
146,4,0,0,0,0,"gas",1
147,1,0,20,20,7,"gas",0
147,2,1,15,30,8,"gas",0
147,3,0,20,20,6,"elec",0
147,4,0,0,0,0,"gas",1
148,1,0,15,25,7,"gas",0
148,2,0,20,25,7,"gas",0
148,3,1,15,30,8,"gas",0
148,4,0,0,0,0,"gas",1
149,1,1,15,20,7,"gas",0
149,2,0,15,25,7,"gas",0
149,3,0,25,25,6,"gas",0
149,4,0,0,0,0,"gas",1
150,1,1,15,25,7,"elec",0
150,2,0,25,20,7,"elec",0
150,3,0,25,25,8,"elec",0
150,4,0,0,0,0,"gas",1
151,1,1,15,20,7,"elec",0
151,2,0,25,20,6,"elec",0
151,3,0,15,20,6,"elec",0
151,4,0,0,0,0,"gas",1
152,1,0,25,25,8,"gas",0
152,2,1,20,20,6,"gas",0
152,3,0,15,20,7,"elec",0
152,4,0,0,0,0,"gas",1
153,1,0,15,25,7,"elec",0
153,2,1,20,20,7,"gas",0
153,3,0,25,30,7,"elec",0
153,4,0,0,0,0,"gas",1
154,1,0,25,30,6,"gas",0
154,2,1,25,30,8,"gas",0
154,3,0,25,20,7,"gas",0
154,4,0,0,0,0,"gas",1
155,1,0,20,25,7,"gas",0
155,2,1,15,20,7,"gas",0
155,3,0,20,30,6,"elec",0
155,4,0,0,0,0,"gas",1
156,1,0,25,25,6,"gas",0
156,2,0,20,20,7,"elec",0
156,3,0,25,20,7,"elec",0
156,4,1,0,0,0,"gas",1
157,1,0,20,20,7,"gas",0
157,2,1,20,30,6,"gas",0
157,3,0,20,30,8,"elec",0
157,4,0,0,0,0,"gas",1
158,1,1,15,30,8,"elec",0
158,2,0,25,20,8,"elec",0
158,3,0,25,20,6,"gas",0
158,4,0,0,0,0,"gas",1
159,1,1,15,25,8,"gas",0
159,2,0,20,30,6,"gas",0
159,3,0,15,25,7,"gas",0
159,4,0,0,0,0,"gas",1
160,1,0,25,25,7,"gas",0
160,2,1,20,20,6,"gas",0
160,3,0,15,25,7,"elec",0
160,4,0,0,0,0,"gas",1
161,1,0,25,30,8,"gas",0
161,2,0,25,25,8,"elec",0
161,3,1,15,25,6,"elec",0
161,4,0,0,0,0,"gas",1
162,1,1,15,20,6,"elec",0
162,2,0,25,25,6,"gas",0
162,3,0,15,20,8,"elec",0
162,4,0,0,0,0,"gas",1
163,1,1,20,25,6,"gas",0
163,2,0,25,25,8,"gas",0
163,3,0,25,30,6,"elec",0
163,4,0,0,0,0,"gas",1
164,1,0,15,20,7,"gas",0
164,2,0,15,20,8,"elec",0
164,3,1,15,20,8,"gas",0
164,4,0,0,0,0,"gas",1
165,1,1,15,25,7,"gas",0
165,2,0,25,25,7,"gas",0
165,3,0,20,20,6,"gas",0
165,4,0,0,0,0,"gas",1
166,1,1,15,25,7,"gas",0
166,2,0,20,30,8,"elec",0
166,3,0,20,30,7,"gas",0
166,4,0,0,0,0,"gas",1
167,1,0,20,25,7,"elec",0
167,2,0,25,30,6,"gas",0
167,3,1,15,25,7,"gas",0
167,4,0,0,0,0,"gas",1
168,1,0,25,20,8,"gas",0
168,2,0,20,20,7,"gas",0
168,3,1,15,30,7,"elec",0
168,4,0,0,0,0,"gas",1
169,1,0,25,25,6,"elec",0
169,2,0,15,25,7,"elec",0
169,3,1,15,30,6,"elec",0
169,4,0,0,0,0,"gas",1
170,1,0,20,20,7,"gas",0
170,2,1,15,20,8,"elec",0
170,3,0,25,30,7,"elec",0
170,4,0,0,0,0,"gas",1
171,1,0,20,25,6,"gas",0
171,2,0,25,30,8,"gas",0
171,3,1,15,25,8,"elec",0
171,4,0,0,0,0,"gas",1
172,1,0,20,25,8,"gas",0
172,2,0,20,20,6,"elec",0
172,3,1,15,20,8,"gas",0
172,4,0,0,0,0,"gas",1
173,1,1,20,20,8,"gas",0
173,2,0,25,20,8,"gas",0
173,3,0,25,20,7,"elec",0
173,4,0,0,0,0,"gas",1
174,1,0,25,25,6,"gas",0
174,2,0,25,25,8,"elec",0
174,3,1,15,25,8,"gas",0
174,4,0,0,0,0,"gas",1
175,1,0,25,25,8,"elec",0
175,2,0,20,25,6,"elec",0
175,3,0,15,30,6,"elec",0
175,4,1,0,0,0,"gas",1
176,1,0,25,30,7,"elec",0
176,2,0,20,30,7,"elec",0
176,3,0,15,20,6,"elec",0
176,4,1,0,0,0,"gas",1
177,1,0,25,25,6,"gas",0
177,2,1,15,25,7,"gas",0
177,3,0,15,20,6,"gas",0
177,4,0,0,0,0,"gas",1
178,1,1,15,30,8,"gas",0
178,2,0,25,30,8,"gas",0
178,3,0,20,30,7,"elec",0
178,4,0,0,0,0,"gas",1
179,1,0,25,20,7,"elec",0
179,2,1,15,25,7,"gas",0
179,3,0,15,20,8,"elec",0
179,4,0,0,0,0,"gas",1
180,1,0,25,20,6,"elec",0
180,2,1,20,30,7,"gas",0
180,3,0,25,30,7,"gas",0
180,4,0,0,0,0,"gas",1
181,1,0,20,30,7,"elec",0
181,2,0,25,25,7,"elec",0
181,3,0,25,20,7,"gas",0
181,4,1,0,0,0,"gas",1
182,1,0,25,20,8,"elec",0
182,2,0,25,25,8,"elec",0
182,3,1,20,30,6,"gas",0
182,4,0,0,0,0,"gas",1
183,1,0,20,30,8,"elec",0
183,2,1,15,25,6,"gas",0
183,3,0,20,25,7,"gas",0
183,4,0,0,0,0,"gas",1
184,1,1,20,20,6,"gas",0
184,2,0,25,25,6,"elec",0
184,3,0,25,20,6,"gas",0
184,4,0,0,0,0,"gas",1
185,1,0,20,30,7,"elec",0
185,2,1,25,25,6,"gas",0
185,3,0,25,20,6,"elec",0
185,4,0,0,0,0,"gas",1
186,1,0,15,20,6,"elec",0
186,2,1,15,20,8,"gas",0
186,3,0,25,20,6,"gas",0
186,4,0,0,0,0,"gas",1
187,1,0,25,20,6,"gas",0
187,2,0,20,25,7,"elec",0
187,3,1,15,25,7,"elec",0
187,4,0,0,0,0,"gas",1
188,1,0,25,20,8,"elec",0
188,2,0,20,25,6,"elec",0
188,3,1,25,30,7,"gas",0
188,4,0,0,0,0,"gas",1
189,1,0,15,20,7,"elec",0
189,2,1,15,25,7,"gas",0
189,3,0,25,25,6,"gas",0
189,4,0,0,0,0,"gas",1
190,1,0,15,25,7,"elec",0
190,2,1,20,30,7,"gas",0
190,3,0,25,30,7,"elec",0
190,4,0,0,0,0,"gas",1
191,1,0,15,25,6,"elec",0
191,2,0,15,30,6,"elec",0
191,3,1,20,25,8,"gas",0
191,4,0,0,0,0,"gas",1
192,1,0,25,20,6,"elec",0
192,2,0,15,20,6,"gas",0
192,3,1,15,20,7,"gas",0
192,4,0,0,0,0,"gas",1
193,1,0,25,30,8,"gas",0
193,2,0,25,25,7,"gas",0
193,3,1,15,25,6,"gas",0
193,4,0,0,0,0,"gas",1
194,1,1,20,30,6,"elec",0
